order_id,customer_name,email,phone,address,size,color,style,tv_show,quantity,price,fulfillment_type
45,Gina White,foleybruce@example.org,686-288-4047,"848 Patrick Row Suite 864, Rogersfurt, AL 62462",M,Black,Hoodie,The Office,2,43.19,shipping
46,Mark Rivera,mleach@example.com,(828)073-6215x5761,"888 Schroeder Rest Apt. 092, Bruceview, FM 10561",XL,White,Round Neck,Friends,2,35.38,shipping
47,Kyle Peters,crobles@example.net,682.100.5843x3839,"90658 Beard Mission, West Lynnside, IL 95006",XXL,Gray,Round Neck,Game of Thrones,4,34.06,shipping
49,David Cunningham,johnhampton@example.org,(483)345-6040x5921,"7806 Nichols Roads Suite 412, Derekview, PA 76278",L,Yellow,V-Neck,Game of Thrones,3,42.34,shipping
51,Janet Robinson,ruth90@example.com,+1-491-011-0845x54589,"906 Robert Canyon Apt. 250, North Samantha, MO 53888",S,Gray,Hoodie,Game of Thrones,1,40.25,shipping
52,Spencer Morris,losborne@example.net,(968)618-7544x16289,"9840 Brittany Circle Suite 168, Lisashire, MD 48673",S,Black,Round Neck,The Office,1,36.57,shipping
53,Charles Pierce,kelseychandler@example.net,492.191.6652x015,"052 Crawford Passage, Diazbury, VT 59895",S,Yellow,Crewneck,Game of Thrones,2,32.47,shipping
56,Stephen Taylor,kayla95@example.net,415-769-7836x69571,"333 Mark Shoals Apt. 225, North David, SD 90447",M,Black,Hoodie,Game of Thrones,2,41.25,shipping
57,Christopher Harrison,npierce@example.org,001-795-014-5931x5423,"8612 Michael Corners, East Kevinport, MS 57434",XXL,Gray,V-Neck,Breaking Bad,3,42.89,shipping
58,Leslie Lopez,rebeccahernandez@example.com,470.313.9884x93867,"546 Trevino Meadows, North Debra, NJ 33345",XL,Black,Hoodie,Breaking Bad,5,32.03,shipping
59,Samuel Nguyen,melissawoods@example.com,001-062-602-2937x005,"740 Barbara Coves Suite 684, Lake Marktown, WY 90436",M,Red,Long Sleeve,The Office,3,34.75,shipping
61,Diana Adams,fwalker@example.net,001-789-953-6498x5745,"908 Julie Place Apt. 810, New Matthew, ME 33624",XL,Red,Round Neck,Breaking Bad,1,17.36,shipping
63,Nancy Friedman,matthew75@example.org,001-973-367-1518,"311 Teresa Spring, Cynthiashire, PR 37358",XL,Gray,Crewneck,Stranger Things,5,43.72,shipping
64,Gary Rodriguez,robinsonalexander@example.net,418.929.0650,"Unit 5031 Box 5385, DPO AP 83663",M,White,Round Neck,The Office,4,30.41,shipping
66,Sandra Escobar,serranochristine@example.org,+1-494-680-6030x9825,"255 Strickland Bypass, South Jonathan, IA 86206",XL,Gray,Round Neck,Stranger Things,4,22.27,shipping
67,Joseph Miller,debbiewilliams@example.net,965.879.5488x10114,"47268 Kathy Cape, Johnstonton, DE 35896",S,Yellow,Hoodie,Breaking Bad,3,31.50,shipping
70,Adam Reed,mcdonaldjorge@example.com,993-397-5290x8956,"653 Katie Forks Apt. 103, East Jeffreyhaven, AZ 78457",L,Blue,Long Sleeve,Game of Thrones,2,30.53,shipping
71,Susan Keller,scottmisty@example.org,7688664927,"317 Mccarty Locks Suite 892, Jacksonmouth, ID 86453",L,Blue,Crewneck,Stranger Things,5,19.14,shipping
75,Mr. Carlos Johnson,orice@example.org,+1-110-643-1445x20865,"76940 Meyers Flat Apt. 993, North Jackie, IN 65013",XXL,Black,Long Sleeve,Breaking Bad,2,22.02,shipping
77,Daniel Ross,oscar46@example.net,2557355400,"030 Jillian Extensions, Johnsonland, GA 90637",S,Red,V-Neck,The Office,1,32.87,shipping
79,Richard Morton,alexfranklin@example.org,(663)526-4334x6529,"032 Lewis Cape Suite 274, Perryport, AK 55402",XL,White,Long Sleeve,Game of Thrones,5,40.69,shipping
80,Sophia Hughes,hwalker@example.net,061.230.7211,"1836 Oliver Loop, West Melissa, MI 25183",XL,Blue,Long Sleeve,Breaking Bad,2,47.46,shipping
87,Joseph Lawson,tsalazar@example.com,(558)975-1930,"09931 Smith Circle Suite 227, Robertburgh, CA 74907",S,Yellow,Crewneck,Breaking Bad,3,36.47,shipping
88,Mariah Smith,cynthia11@example.org,+1-574-887-5470x161,"8102 Victor Bridge, Robinmouth, AS 07521",XL,White,Hoodie,The Office,4,41.06,shipping
93,Antonio Weaver,hsmith@example.org,001-971-770-2260x09730,"8780 John Station Suite 262, Aguilarhaven, GU 09663",S,Green,Crewneck,Stranger Things,4,21.41,shipping
94,Donald Lang,haynesvanessa@example.com,001-899-889-7855,"396 Crosby Lodge, West Steven, AZ 94325",XL,Black,V-Neck,The Office,3,23.71,shipping
97,Lori Phillips,herreraangelica@example.net,001-160-382-1156x970,"1263 Jill Park, Williamborough, WA 43222",S,Green,Long Sleeve,Friends,3,37.67,shipping
99,Carl Rivera,megancopeland@example.net,332.186.1355x44079,"734 Kevin Plaza, Port Christinechester, NM 80595",L,Red,V-Neck,Breaking Bad,5,48.44,shipping
100,Veronica Fisher,erinhughes@example.net,1530363560,"1212 Schwartz Dam, Port Debbieberg, NV 90816",M,Yellow,Round Neck,Game of Thrones,4,23.85,shipping
